patch_id,best_date,gt_date,NRMSE,PSNR,SSIM,SAM
0,3,2,0.023444911,32.599026,0.8764215,3.742928
1,17,2,0.051485546,25.766294,0.96435136,2.1863275
10,3,2,0.02083172,33.625496,0.9136393,3.0900314
11,3,2,0.01953867,34.1821,0.91156083,3.0654156
12,3,2,0.019162368,34.351013,0.9158227,3.0627322
13,3,2,0.023562886,32.55543,0.9097473,3.592159
14,26,2,0.0689706,23.22672,0.85024667,5.59065
15,29,2,0.026456382,31.549389,0.94200426,2.8376596
16,26,2,0.06652661,23.540092,0.8430395,5.5685215
17,26,2,0.06617095,23.586653,0.845911,6.700805
18,10,2,0.03357892,29.478664,0.92108583,4.461902
19,27,8,0.13647528,17.29892,0.69981575,13.375885
2,17,2,0.054136198,25.330246,0.9664109,2.5723004
20,17,2,0.042648382,27.401947,0.96140915,2.450643
21,17,2,0.04993595,26.031733,0.96271676,2.26952
22,17,2,0.04618106,26.710722,0.9671319,2.4436846
23,26,2,0.055098765,25.177162,0.8094283,5.4478393
24,26,2,0.06682083,23.501762,0.79782397,6.314226
25,26,2,0.06599154,23.610233,0.81864524,5.7951837
26,26,2,0.06232504,24.106749,0.82831144,5.6982536
27,26,2,0.055130858,25.172104,0.8512005,5.107336
28,26,2,0.055184066,25.163727,0.8517074,5.15879
29,26,2,0.061943054,24.160147,0.85252696,5.243702
3,17,2,0.052082296,25.666197,0.9643128,2.67993
30,26,2,0.06489593,23.75565,0.855258,5.189728
31,26,2,0.067395985,23.427319,0.85680586,5.134234
32,26,2,0.073051855,22.727375,0.86461544,5.0616345
33,26,2,0.06866751,23.264973,0.865393,4.9188046
34,26,2,0.06537921,23.691206,0.86423844,5.2906504
35,26,2,0.060688317,24.337898,0.814215,5.8066382
36,26,2,0.05726119,24.842793,0.84781766,6.027305
37,1,20,0.2350355,12.577332,0.40657166,19.985416
38,1,20,0.2862168,10.866097,0.40693855,19.233538
39,13,9,0.111293994,19.070564,0.73021215,10.179099
4,3,2,0.019187147,34.339794,0.9137823,2.8044221
40,28,2,0.020175833,33.90337,0.90502596,3.078734
41,17,2,0.048254833,26.329184,0.94633895,5.8999004
42,18,2,0.09267172,20.661057,0.7820484,11.319502
43,18,2,0.093563005,20.577917,0.71497184,12.003802
44,18,2,0.10043242,19.962523,0.72226167,11.714568
45,18,6,0.07955044,21.98715,0.8058377,8.144952
46,6,2,0.044249438,27.081844,0.92143726,6.8796835
47,10,2,0.07980802,21.959068,0.781281,10.738927
48,6,2,0.03912829,28.15018,0.9409582,5.61325
49,9,2,0.035439845,29.010164,0.9423797,3.1986759
5,26,2,0.067331545,23.435629,0.81483537,5.985661
6,3,2,0.02150313,33.349968,0.9196379,2.8588276
7,3,2,0.022194572,33.07506,0.9138196,2.9346492
8,3,2,0.01870683,34.559998,0.91680115,2.961806
9,3,2,0.019883396,34.03019,0.9135132,3.2015512
